text,specialist
"Scarlet Fever: A bacterial illness that develops in some people who have strep throat. Caused by Group A Streptococcus. Symptoms include a bright red rash that feels like sandpaper, a 'strawberry tongue', and high fever. Diagnosis is via throat culture. Treatment involves antibiotics (penicillin or amoxicillin) to eliminate the bacteria and prevent rheumatic fever.",Infectious Disease Specialist
"Ovarian Cancer: A type of cancer that begins in the ovaries. Often goes undetected until it has spread within the pelvis and abdomen. Symptoms are vague: bloating, pelvic pain, difficulty eating, and urinary frequency. Diagnosis involves pelvic exam, transvaginal ultrasound, and CA-125 blood test. Treatment usually involves surgery (debulking) and chemotherapy.",Gynecologic Oncologist
Hyperhidrosis: Abnormally excessive sweating that's not necessarily related to heat or exercise. Can be focal (hands/feet) or generalized. Caused by overactive sweat glands. Symptoms include visible sweating soaking through clothes and skin maceration. Diagnosis is clinical. Treatment ranges from prescription antiperspirants and iontophoresis to Botox injections or sympathectomy.,Dermatologist
"Strabismus (Crossed Eyes): A condition in which the eyes do not align properly when looking at an object. Caused by problems with the eye muscles or nerves. Symptoms include eyes that look in different directions, double vision, and depth perception loss. Diagnosis is via eye exam (cover test). Treatment includes eyeglasses, patching the stronger eye, or eye muscle surgery.",Ophthalmologist
"Postpartum Depression: A complex mix of physical, emotional, and behavioral changes that happen in some women after giving birth. Caused by a rapid drop in hormones (estrogen/progesterone) and sleep deprivation. Symptoms include severe mood swings, withdrawal from family, and difficulty bonding with the baby. Diagnosis is clinical (Edinburgh Scale). Treatment involves counseling and antidepressants.",Psychiatrist
"Acute Bronchitis: Inflammation of the lining of the bronchial tubes, which carry air to and from the lungs. Usually viral in origin (following a cold). Symptoms include a cough producing thickened mucus, fatigue, and slight fever. Diagnosis is clinical. Treatment is supportive (rest, fluids, cough suppressants); antibiotics are rarely needed unless bacterial infection is confirmed.",Pulmonologist
"Kyphosis: An exaggerated forward rounding of the back. Can be postural or due to spinal abnormalities (Scheuermann's disease). Symptoms include a visible hump on the upper back, back pain, and stiffness. Diagnosis is via X-rays of the spine. Treatment depends on severity and includes physical therapy, bracing, or spinal fusion surgery for severe curves.",Orthopedist
"Thrombocytopenia: A condition characterized by abnormally low levels of platelets (thrombocytes) in the blood. Causes include leukemia, immune system problems, or medication side effects. Symptoms include easy bruising (purpura), superficial bleeding (petechiae), and prolonged bleeding from cuts. Diagnosis is via CBC. Treatment addresses the underlying cause; corticosteroids or platelet transfusions may be used.",Hematologist
"Laryngitis: Inflammation of the voice box (larynx) from overuse, irritation, or infection. Usually viral. Symptoms include hoarseness, weak voice or voice loss, and dry throat. Diagnosis is clinical or via laryngoscopy. Treatment primarily involves resting the voice and hydration; corticosteroids are used only in urgent cases (e.g., for performers).",Otolaryngologist
"Placenta Previa: A problem during pregnancy when the placenta completely or partially covers the opening of the uterus (cervix). Symptoms include bright red vaginal bleeding without pain during the second half of pregnancy. Diagnosis is via ultrasound. Treatment involves avoiding pelvic exams, bed rest, and C-section delivery if the placenta does not move.",Obstetrician
"Sjogren's Syndrome: An immune system disorder characterized by two most common symptoms: dry eyes and a dry mouth. The immune system attacks the glands that make tears and saliva. Diagnosis involves blood tests (SSA/SSB antibodies) and lip biopsy. Treatment includes artificial tears, saliva stimulants, and immunosuppressive drugs (hydroxychloroquine).",Rheumatologist
"Hypokalemia: A lower-than-normal level of potassium in the bloodstream. Causes include chronic kidney disease, diabetic ketoacidosis, and diuretics. Symptoms include weakness, fatigue, muscle cramps, and heart arrhythmias. Diagnosis is via basic metabolic panel (BMP). Treatment involves oral or intravenous potassium supplementation.",Nephrologist
"Meniere's Disease: A disorder of the inner ear that can lead to dizzy spells (vertigo) and hearing loss. Caused by fluid buildup (endolymph) in the labyrinth. Symptoms include recurrent vertigo, fluctuating hearing loss, tinnitus, and a feeling of fullness in the ear. Diagnosis is clinical and via audiometry. Treatment includes low-salt diet, diuretics, and injections of gentamicin or steroids into the ear.",Otolaryngologist
"Bladder Cancer: Cancer that begins in the cells (urothelial cells) lining the bladder. Risk factors include smoking and chemical exposure. Symptoms include blood in urine (hematuria), frequent urination, and painful urination. Diagnosis is via cystoscopy and biopsy. Treatment options include surgery (TURBT, cystectomy), intravesical therapy (BCG), and chemotherapy.",Urologist
"Guillain-Barre Syndrome (GBS): A rare disorder in which the body's immune system attacks the nerves. Often preceded by an infection (e.g., Campylobacter jejuni or flu). Symptoms include weakness and tingling in the extremities that quickly spreads, potentially paralyzing the whole body. Diagnosis is via lumbar puncture (high protein in CSF) and nerve conduction studies. Treatment involves plasma exchange (plasmapheresis) and high-dose immunoglobulin therapy.",Neurologist
"Basal Cell Carcinoma (BCC): The most common type of skin cancer. It arises from the basal cells in the epidermis, usually due to sun exposure. Symptoms include a pearly or waxy bump, a flat flesh-colored lesion, or a bleeding sore that heals and returns. Diagnosis is via skin biopsy. Treatment includes Mohs surgery, excision, or cryotherapy; it rarely metastasizes but can damage local tissue.",Dermatologist
"Social Anxiety Disorder: A chronic mental health condition in which social interactions cause irrational anxiety. Causes include brain structure (amygdala) and environment. Symptoms include intense fear of judgment, avoidance of social situations, trembling, and sweating. Diagnosis is based on DSM-5 criteria. Treatment involves Cognitive Behavioral Therapy (CBT) and medications like SSRIs or beta-blockers for performance anxiety.",Psychiatrist
"Diabetic Retinopathy: A diabetes complication that affects eyes. Caused by damage to the blood vessels of the light-sensitive tissue at the back of the eye (retina). Symptoms include spots or dark strings floating in vision (floaters), blurred vision, and vision loss. Diagnosis is via dilated eye exam and OCT. Treatment includes blood sugar control, laser treatment, and anti-VEGF injections.",Ophthalmologist
"Pyloric Stenosis: A condition in infants that blocks food from entering the small intestine. The pylorus muscle thickens and blocks the stomach outlet. Symptoms include forceful (projectile) vomiting, dehydration, and constant hunger. Diagnosis is via abdominal ultrasound showing the 'doughnut sign'. Treatment is a minor surgery called pyloromyotomy.",Pediatric Surgeon
"Hypertrophic Cardiomyopathy (HCM): A disease in which the heart muscle becomes abnormally thick (hypertrophied). It is often genetic. Symptoms include chest pain, shortness of breath, and arrhythmias; it is a leading cause of sudden cardiac death in young athletes. Diagnosis is via Echocardiogram and MRI. Treatment involves beta-blockers, septal myectomy, or an implantable cardioverter-defibrillator (ICD).",Cardiologist
"Molluscum Contagiosum: A viral skin infection that results in round, firm, painless bumps. Caused by a poxvirus. Symptoms include small, raised, pink or white lesions with a dimple in the center. Diagnosis is clinical. Treatment is often not necessary as it resolves on its own, but options include cryotherapy, curettage, or topical therapy to speed recovery.",Dermatologist
"Polycythemia Vera: A type of blood cancer that causes bone marrow to make too many red blood cells. Caused by a mutation in the JAK2 gene. Symptoms include itchiness (especially after warm baths), fatigue, and headache. Diagnosis is via blood tests (high hematocrit) and bone marrow biopsy. Treatment involves regular phlebotomy (blood removal) and medication like hydroxyurea.",Hematologist
"Epiglottitis: A potentially life-threatening condition that occurs when the epiglottis swells, blocking the flow of air into the lungs. Often caused by Hib bacteria. Symptoms include severe sore throat, fever, drooling, and leaning forward to breathe (tripod position). Diagnosis is via lateral neck X-ray ('thumb sign'). Treatment is an emergency: securing the airway (intubation) and IV antibiotics.",Otolaryngologist
"Pheochromocytoma: A rare tumor of adrenal gland tissue. It releases too much epinephrine and norepinephrine. Symptoms include episodes of high blood pressure, heavy sweating, headache, and rapid heartbeat. Diagnosis is via urine/blood tests for metanephrines and CT/MRI. Treatment involves alpha-blockers to control BP followed by surgical removal of the tumor.",Endocrinologist
"Trichomoniasis: A sexually transmitted infection caused by a parasite (Trichomonas vaginalis). Symptoms include foul-smelling vaginal discharge, genital itching, and painful urination; men are often asymptomatic. Diagnosis is via microscopic examination of discharge or NAAT. Treatment involves a single dose of oral metronidazole or tinidazole for both partners.",Gynecologist
"Shin Splints (Medial Tibial Stress Syndrome): Pain along the shin bone (tibia). Caused by repetitive stress on the shinbone and connective tissues, common in runners. Symptoms include tenderness, soreness, or pain along the inner side of the shinbone and mild swelling. Diagnosis is clinical. Treatment involves rest, ice, and modifying exercise routines.",Sports Medicine Specialist
"Hyperemesis Gravidarum: A severe type of nausea and vomiting during pregnancy. Unlike morning sickness, it causes severe dehydration and weight loss. Cause is linked to rapidly rising HCG levels. Diagnosis is based on weight loss (>5% pre-pregnancy weight) and ketonuria. Treatment involves intravenous fluids, electrolytes, and antiemetic medications (ondansetron, promethazine).",Obstetrician
"Hepatocellular Carcinoma (HCC): The most common type of primary liver cancer. Occurs most often in people with chronic liver diseases like cirrhosis or Hepatitis B/C. Symptoms include upper abdominal pain, weight loss, and jaundice. Diagnosis is via liver imaging (CT/MRI) and alpha-fetoprotein (AFP) levels. Treatment ranges from resection and transplant to ablation and chemotherapy.",Hepatologist
"Salmonella Infection (Salmonellosis): A common bacterial disease that affects the intestinal tract. Humans become infected most frequently through contaminated water or food. Symptoms include diarrhea, fever, and abdominal cramps within 8 to 72 hours. Diagnosis is via stool culture. Treatment is usually fluid replacement; antibiotics are reserved for severe cases or immunocompromised patients.",Infectious Disease Specialist
"Torticollis (Wry Neck): A condition in which the neck muscles contract, causing the head to twist to one side. Can be congenital or acquired (spasm). Symptoms include limited range of head motion, headache, and neck stiffness. Diagnosis is clinical. Treatment involves physical therapy, stretching, heat, and sometimes botulinum toxin injections.",Neurologist
"Hypopituitarism: A rare condition in which the pituitary gland fails to produce one or more hormones. Causes include tumors, head injury, or Sheehan's syndrome. Symptoms vary based on the missing hormone but include fatigue, weight loss, and low libido. Diagnosis is via hormone stimulation tests and MRI. Treatment involves lifelong hormone replacement therapy (e.g., cortisol, thyroid hormone).",Endocrinologist
"Presbyopia: The gradual loss of the eyes' ability to focus on nearby objects. It's a natural, often annoying part of aging (usually starts mid-40s). Symptoms include a tendency to hold reading material farther away and blurred vision at normal reading distance. Diagnosis is via basic eye exam. Treatment includes reading glasses, bifocals, or conductive keratoplasty.",Ophthalmologist
"Ganglion Cyst: A noncancerous lump that most commonly develops along the tendons or joints of the wrists or hands. The cause is unknown. Symptoms include a round, fluid-filled lump that may be painful if it presses on a nerve. Diagnosis is clinical or via transillumination. Treatment is often observation; aspiration or surgical removal is used if painful.",Hand Surgeon
"Rubella (German Measles): A contagious viral infection best known for its distinctive red rash. It is dangerous for pregnant women (congenital rubella syndrome). Symptoms include mild fever, headache, and a fine, pink rash. Diagnosis is via serologic testing. Treatment is supportive; prevention is highly effective via the MMR vaccine.",Infectious Disease Specialist
